Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.575856409	1802	1.664886355	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.575914281	1836	1.664886355	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57597213	1870	1.742575526	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576030001	1904	1.742575526	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576087873	1938	1.742575526	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576145745	1972	1.580053926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576203617	2006	1.580053926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576261489	2040	1.580053926	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576319372	2074	1.752442956	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576377232	2108	1.752442956	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576435115	2142	1.752442956	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576492964	2176	1.619808316	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576550836	2210	1.619808316	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576608708	2244	1.619808316	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576666579	2278	1.4247787	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576724451	2312	1.4247787	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576782335	2346	1.4247787	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576840206	2380	1.623250008	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576898078	2414	1.623250008	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.576955927	2448	1.623250008	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57701381	2482	1.614660859	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57707167	2516	1.614660859	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577129542	2550	1.614660859	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577187414	2584	1.382325769	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577245286	2618	1.382325769	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577303157	2652	1.382325769	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577361029	2686	1.93280685	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577418901	2720	1.93280685	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577476773	2754	1.93280685	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577534633	2788	1.804558396	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577592516	2822	1.804558396	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577650388	2856	1.804558396	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577708248	2890	1.529690743	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.57776612	2924	1.529690743	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577823992	2958	1.529690743	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577881863	2992	1.692390442	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577939735	3026	1.692390442	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.577997595	3060	1.692390442	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.578055479	3094	1.920090318	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
0.578113351	3128	1.920090318	0.950120509	34.31314286	0.087884393	1.406011561	0.70300578
