Day fraction since midnight on 	Time (seconds)	influent turbidity (NTU)	effluent turbidity (NTU)	water pump control (rpm)	coag pump control (rpm)	acid pump control (rpm)	carbon pump control (rpm)
0.599635136	864	1.577406406	0.829858005	34.25828571	0.35132948	1.406011561	0.70300578
0.599693007	900	1.613771677	0.806569934	34.25828571	0.35132948	1.406011561	0.70300578
0.599750891	936	1.613771677	0.806569934	34.25828571	0.35132948	1.406011561	0.70300578
0.599808763	972	1.613771677	0.806569934	34.25828571	0.35132948	1.406011561	0.70300578
0.599866623	1008	1.685757279	0.645205498	34.25828571	0.35132948	1.406011561	0.70300578
0.599924483	1044	1.685757279	0.645205498	34.25828571	0.35132948	1.406011561	0.70300578
0.599982355	1080	1.685757279	0.645205498	34.25828571	0.35132948	1.406011561	0.70300578
0.600040238	1116	1.716461539	0.565339625	34.25828571	0.35132948	1.406011561	0.70300578
0.600098099	1152	1.716461539	0.565339625	34.25828571	0.35132948	1.406011561	0.70300578
0.600155982	1188	1.716461539	0.565339625	34.25828571	0.35132948	1.406011561	0.70300578
0.600213842	1224	1.666043639	0.673773944	34.25828571	0.35132948	1.406011561	0.70300578
0.600271714	1260	1.666043639	0.673773944	34.25828571	0.35132948	1.406011561	0.70300578
0.600329597	1296	1.666043639	0.673773944	34.25828571	0.35132948	1.406011561	0.70300578
0.600387446	1332	1.617726207	0.707216799	34.25828571	0.35132948	1.406011561	0.70300578
0.600445318	1368	1.617726207	0.707216799	34.25828571	0.35132948	1.406011561	0.70300578
0.600503201	1404	1.617726207	0.707216799	34.25828571	0.35132948	1.406011561	0.70300578
0.600561062	1440	1.66256237	0.636648297	34.25828571	0.35132948	1.406011561	0.70300578
0.600618945	1476	1.66256237	0.636648297	34.25828571	0.35132948	1.406011561	0.70300578
0.600676805	1512	1.66256237	0.636648297	34.25828571	0.35132948	1.406011561	0.70300578
0.600734689	1548	1.699356437	0.606624842	34.25828571	0.35132948	1.406011561	0.70300578
0.600792549	1584	1.699356437	0.606624842	34.25828571	0.35132948	1.406011561	0.70300578
0.600850444	1620	1.699356437	0.606624842	34.25828571	0.35132948	1.406011561	0.70300578
0.600908281	1656	1.717387795	0.633530557	34.25828571	0.35132948	1.406011561	0.70300578
0.600966176	1692	1.717387795	0.633530557	34.25828571	0.35132948	1.406011561	0.70300578
0.601024025	1728	1.717387795	0.633530557	34.25828571	0.35132948	1.406011561	0.70300578
0.601081908	1764	1.628110886	0.551393926	34.25828571	0.35132948	1.406011561	0.70300578
0.601139768	1800	1.628110886	0.551393926	34.25828571	0.35132948	1.406011561	0.70300578
0.601197652	1836	1.628110886	0.551393926	34.25828571	0.35132948	1.406011561	0.70300578
0.601255512	1872	1.689373374	0.708531678	34.25828571	0.35132948	1.406011561	0.70300578
0.601313395	1908	1.689373374	0.708531678	34.25828571	0.35132948	1.406011561	0.70300578
0.601371256	1944	1.689373374	0.708531678	34.25828571	0.35132948	1.406011561	0.70300578
0.601429116	1980	1.812422633	0.663544893	34.25828571	0.35132948	1.406011561	0.70300578
0.601486999	2016	1.812422633	0.663544893	34.25828571	0.35132948	1.406011561	0.70300578
0.60154486	2052	1.812422633	0.663544893	34.25828571	0.35132948	1.406011561	0.70300578
0.601602743	2088	3.099114656	5.035674572	34.25828571	0.35132948	1.406011561	0.70300578
0.601660603	2124	3.099114656	5.035674572	34.25828571	0.35132948	1.406011561	0.70300578
0.601718475	2160	3.099114656	5.035674572	34.25828571	0.35132948	1.406011561	0.70300578
0.601776359	2196	7.514262199	4.725302696	34.25828571	0.35132948	1.406011561	0.70300578
0.601834219	2232	7.514262199	4.725302696	34.25828571	0.35132948	1.406011561	0.70300578
0.601892091	2268	7.514262199	4.725302696	34.25828571	0.35132948	1.406011561	0.70300578
0.601949951	2304	9.780069351	4.725302696	34.25828571	0.35132948	1.406011561	0.70300578
0.602007823	2340	9.767406464	3.223096609	34.25828571	0.35132948	1.406011561	0.70300578
0.602065706	2376	9.767406464	3.223096609	34.25828571	0.35132948	1.406011561	0.70300578
0.602123566	2412	9.767406464	3.223096609	34.25828571	0.35132948	1.406011561	0.70300578
0.602181438	2448	9.48784256	2.899321556	34.25828571	0.35132948	1.406011561	0.70300578
0.60223931	2484	9.48784256	2.899321556	34.25828571	0.35132948	1.406011561	0.70300578
0.602297182	2520	9.48784256	2.899321556	34.25828571	0.35132948	1.406011561	0.70300578
0.602355042	2556	8.406383514	2.696623564	34.25828571	0.35132948	1.406011561	0.70300578
0.602412914	2592	8.406383514	2.696623564	34.25828571	0.35132948	1.406011561	0.70300578
0.602470786	2628	8.406383514	2.696623564	34.25828571	0.35132948	1.406011561	0.70300578
0.602528669	2664	8.195216179	3.479969502	34.25828571	0.35132948	1.406011561	0.70300578
0.602586529	2700	8.195216179	3.479969502	34.25828571	0.35132948	1.406011561	0.70300578
0.602644413	2736	8.195216179	3.479969502	34.25828571	0.35132948	1.406011561	0.70300578
0.602702273	2772	7.287451744	3.479969502	34.25828571	0.35132948	1.406011561	0.70300578
0.602760157	2808	7.207554817	2.619704247	34.25828571	0.35132948	1.406011561	0.70300578
0.602818005	2844	7.207554817	2.619704247	34.25828571	0.35132948	1.406011561	0.70300578
0.602875889	2880	7.207554817	2.619704247	34.25828571	0.35132948	1.406011561	0.70300578
0.60293376	2916	6.859833717	1.859104753	34.25828571	0.35132948	1.406011561	0.70300578
0.602991632	2952	6.859833717	1.859104753	34.25828571	0.35132948	1.406011561	0.70300578
0.603049504	2988	6.859833717	1.859104753	34.25828571	0.35132948	1.406011561	0.70300578
0.603107364	3024	6.763103485	2.071662188	34.25828571	0.35132948	1.406011561	0.70300578
0.603165236	3060	6.763103485	2.071662188	34.25828571	0.35132948	1.406011561	0.70300578
0.603223108	3096	6.763103485	2.071662188	34.25828571	0.35132948	1.406011561	0.70300578
0.60328098	3132	6.457622051	1.706843615	34.25828571	0.35132948	1.406011561	0.70300578
0.60333884	3168	6.457622051	1.706843615	34.25828571	0.35132948	1.406011561	0.70300578
